No.,Weekly Schedule,Delivered By,Location,Category,Area,Branch,Frequency,Frequency Count,TL,Delivery Mode,Active Branches
1,FRIDAY,FTI,NL,BRANCH,ALAMINOS,MAGIC LINGAYEN,F4,4,"CARANZA, JEFFREY",DIRECT,Active
1,FRIDAY,FTI,NL,BRANCH,ALAMINOS,MAGIC ALAMINOS,F4,4,"CARANZA, JEFFREY",DIRECT,Active
1,FRIDAY,FTI,NL,ASC,ALAMINOS,TECHNOMAGIC ALAMINOS,F4,4,,DIRECT,
1,FRIDAY,FTI,NL,BRANCH,ALAMINOS,CSI ALAMINOS,F4,4,"CARANZA, JEFFREY",DIRECT,Active
1,FRIDAY,FTI,NL,BRANCH,ALAMINOS,MAGIC BOLINAO,F4,4,"CARANZA, JEFFREY",DIRECT,Active
1,FRIDAY,FTI,NL,BRANCH,ALAMINOS,MAGIC ZAMBALES,F4,4,"CARANZA, JEFFREY",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,ADDESSA PANDAN ANGELES,F4,4,"GALANO, DARIO",DIRECT,Closed Branch
2,TUESDAY,FTI,CL,BRANCH,ANGELES,MEGASAVER STO. ROSARIO,F4,4,"GALANO, DARIO",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,ABENSON NEPO ANGELES,F4,4,"GALANO, DARIO",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,MEGASAVER HENSON,F4,4,"GALANO, DARIO",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,ROBINSONS ANGELES,F4,4,"GALANO, DARIO",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,ABENSON WM ARAYAT,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
2,TUESDAY,FTI,CL,BRANCH,ANGELES,SAVERS BALIBAGO,F4,4,"GALANO, DARIO",DIRECT,Active
3,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,ANTIPOLO,ABENSON EAST ORTIGAS,F8,8,"ALBERTO, JOEY",DIRECT,Active
3,WEDNESDAY,FTI,MM,BRANCH,ANTIPOLO,ROBINSONS CAINTA,F4,4,"ALBERTO, JOEY",DIRECT,Active
3,WEDNESDAY,FTI,MM,BRANCH,ANTIPOLO,MEGASAVER PASIG,F4,4,"ALBERTO, JOEY",DIRECT,Active
3,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,ANTIPOLO,ABENSON WM ANTIPOLO,F8,8,"JACINTO, LAURO",DIRECT,Active
3,WEDNESDAY,FTI,MM,BRANCH,ANTIPOLO,ALLHOME ANTIPOLO,F4,4,"JACINTO, LAURO",DIRECT,Closed Branch
3,WEDNESDAY & SATURDAY,FTI,MM,BRANCH,ANTIPOLO,ROBINSONS ANTIPOLO,F8,8,"JACINTO, LAURO",DIRECT,Active
4,TUESDAY,FTI,CL,BRANCH,APALIT,ADDESSA APALIT,F4,4,"CUNANAN, JERALD",DIRECT,Closed Branch
4,TUESDAY,FTI,CL,ASC,APALIT,APPLETRONICS APALIT,F4,4,,DIRECT,
4,TUESDAY,FTI,CL,BRANCH,APALIT,WESTERN PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
4,TUESDAY,FTI,CL,BRANCH,APALIT,MEGASAVER DOWNTOWN PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
4,TUESDAY,FTI,CL,ASC,APALIT,STA. LUCIA,F4,4,,DIRECT,
4,TUESDAY,FTI,CL,BRANCH,APALIT,S&R PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
4,TUESDAY,FTI,CL,BRANCH,APALIT,MEGASAVER SAN FERNANDO PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
4,TUESDAY,FTI,CL,BRANCH,APALIT,ROBINSONS PAMPANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
5,MONDAY,FTI,SL,BRANCH,BACOOR,WESTERN MOLINO,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
5,MONDAY,FTI,SL,BRANCH,BACOOR,ABENSON WM BACOOR,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
5,MONDAY,FTI,SL,BRANCH,BACOOR,S&R BACOOR,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
5,MONDAY,FTI,SL,BRANCH,BACOOR,ROBINSONS VERMOSA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
5,MONDAY,FTI,MM,BRANCH,BACOOR,ALLHOME DAANGHARI,F4,4,"MUÑOZ, RICHARD",DIRECT,Closed Branch
5,MONDAY,FTI,SL,BRANCH,BACOOR,ROBINSONS ARVO DASMA,F4,4,"MUÑOZ, RICHARD",DIRECT,Active
5,MONDAY,FTI,SL,ASC,BACOOR,PSD CAVITE,F4,4,,DIRECT,
5,MONDAY,FTI,SL,ASC,BACOOR,NBJ DASMA,F4,4,,DIRECT,
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,ROBINSONS CENTRAL MALL,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Active
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,TIONGSAN HARRISON,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Active
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,AV SURFER BAGUIO,F4,4,,DIRECT,
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,TIONGSAN CAMPO SIOCO,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Closed Branch
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,ROBINSONS CENTERPOINT,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Active
6,FRIDAY,FTI,NL,ASC,BAGUIO,CENTRAL REPUBLIC BAGUIO,F4,4,,DIRECT,
6,FRIDAY,FTI,NL,BRANCH,BAGUIO,TIONGSAN LA TRINIDAD,F4,4,"OPEÑA, JR., ROLANDO",DIRECT,Active
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,ABENSON MARQUEE MALL,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Closed Branch
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,ROBINSONS MARQUEE,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,METRO ANGELES,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,METRO ANGELES TWIN GROCER,F4,4,"LIWAG, CHRISTOPHER ALLEN",DIRECT,Active
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,IMPERIAL BALIBAGO,F4,4,"GALANO, DARIO",DIRECT,Active
7,TUESDAY,FTI,CL,BRANCH,BALIBAGO,SAVERS DON BONIFACIO,F4,4,"GALANO, DARIO",DIRECT,Active
8,TUESDAY,FTI,CL,BRANCH,BALIUAG,MEGASAVER NEW BALIUAG,F4,4,"CUNANAN, JERALD",DIRECT,Active
8,TUESDAY & FRIDAY,FTI,CL,BRANCH,BALIUAG,ABENSON WM BALIUAG,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
8,TUESDAY,FTI,CL,ASC,BALIUAG,RSG,F4,4,,DIRECT,
8,TUESDAY,FTI,CL,BRANCH,BALIUAG,S&R MALOLOS,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
8,TUESDAY,FTI,CL,BRANCH,BALIUAG,S&R BALIUAG,F4,4,"TABAGAN, ARTHUR",DIRECT,Active
8,TUESDAY & FRIDAY,FTI,CL,BRANCH,BALIUAG,ROBINSONS MALOLOS,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
8,TUESDAY,FTI,CL,BRANCH,BALIUAG,ADDESSA MALOLOS,F4,4,"ANTIPALA, LOUIECENCIO",DIRECT,Closed Branch
8,TUESDAY,FTI,CL,ASC,BALIUAG,APPLETRONICS MALOLOS,F4,4,,DIRECT,
8,TUESDAY,FTI,CL,BRANCH,BALIUAG,ALLHOME MALOLOS,F4,4,"ANTIPALA, LOUIECENCIO",DIRECT,Closed Branch
8,TUESDAY & FRIDAY,FTI,CL,BRANCH,BALIUAG,ABENSON WM MALOLOS,F8,8,"TABAGAN, ARTHUR",DIRECT,Active
9,TUESDAY,FTI,CL,ASC,BATAAN,MHIKE'S,F4,4,,DIRECT,
9,TUESDAY,FTI,CL,BRANCH,BATAAN,ABENSON WM BALANGA,F4,4,"CUNANAN, JERALD",DIRECT,Active
9,TUESDAY,FTI,CL,BRANCH,BATAAN,SAVERS BATAAN II,F4,4,"CUNANAN, JERALD",DIRECT,Active
9,TUESDAY,FTI,CL,BRANCH,BATAAN,ALLHOME BATAAN,F4,4,"CUNANAN, JERALD",DIRECT,Closed Branch
9,TUESDAY,FTI,CL,ASC,BATAAN,ST. JOSEPH,F4,4,,DIRECT,
9,TUESDAY,FTI,CL,BRANCH,BATAAN,SAVERS BATAAN I,F4,4,"CUNANAN, JERALD",DIRECT,Active
