Type,Posting Date,Document Number,Item No.,Ordered Quantity,Delivered Quantity,Remaining Open Qty,From Warehouse Code,To Warehouse,Remarks,Special Instruction,Branch Name,Branch Name v2,Document Status,Due Date,User_Code,PO Number,ISMS SO#,CBM,Customer/Vendor Code,Customer/Vendor Name,Delivery Type
ITR,2025-10-02,345709,50QUHW01,5,5,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,rexconde,916253958,202509-0020594,0.09,,,
ITR,2025-10-02,345709,32STW101,9,7,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,rexconde,916253958,202509-0020594,0.04,,,
ITR,2025-10-02,345709,SONIQUE SURF,5,5,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,rexconde,916253958,202509-0020594,0,,,
ITR,2025-10-01,346486,SONIQUE RAVE 501,2,2,0,FWH14P1F,ABV034,,ADD STK,,ABENSON WM CABANATUAN,C,2025-10-02,rexconde,,202510-0021014,0,,,
ITR,2025-10-01,346487,55UHW201,2,2,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,rexconde,,202510-0021015,0.13,,,
ITR,2025-10-01,346487,65QUHW01,2,2,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,rexconde,,202510-0021015,0.19,,,
ITR,2025-10-01,346487,43STW101,4,4,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,rexconde,,202510-0021015,0.09,,,
ITR,2025-10-01,346487,75UHD206,1,1,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,rexconde,,202510-0021015,0,,,
ITR,2025-10-01,346488,65QUHW01,1,1,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0.19,,,
ITR,2025-10-01,346488,55QUHW01,6,6,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0.13,,,
ITR,2025-10-01,346488,SWS-01,10,10,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0,,,
ITR,2025-10-01,346488,65UHD205,3,3,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0.25,,,
ITR,2025-10-01,346489,55UHW201,5,5,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0.13,,,
ITR,2025-10-01,346489,43STW101,7,7,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0.09,,,
ITR,2025-10-01,346489,75UHD206,2,2,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,rexconde,,202510-0021016,0,,,
ITR,2025-10-01,346490,55QUHW01,2,2,0,FWH14P1F,ABV155,,,,ABENSON DAGUPAN,C,2025-10-03,rexconde,,202510-0021017,0.13,,,
ITR,2025-10-01,346491,SONIQUE SURF,5,5,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,rexconde,,202510-0021018,0,,,
ITR,2025-10-01,346491,55QUHW01,4,4,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,rexconde,,202510-0021018,0.13,,,
ITR,2025-10-01,346491,32STW101,2,2,0,FWH14P1F,ABV137,,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,rexconde,,202510-0021018,0.04,,,
ITR,2025-10-01,346491,55UHW201,5,5,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,rexconde,,202510-0021018,0.13,,,
ITR,2025-10-01,346491,43STW101,2,2,0,FWH14P1F,ABV137,,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,rexconde,,202510-0021018,0.09,,,
