id,type,posting_date,document_number,item_number,ordered_qty,delivered_qty,remaining_open_qty,from_whse_code,to_whse,remarks,special_instructions,branch_name,branch_name_v2,document_status,original_due_date,due_date,user_code,po_number,isms_so_number,cbm,total_cbm,customer_vendor_code,customer_vendor_name,status
1,ITR,2025-10-02,345709,50QUHW01,5,5,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,2025-10-04,rexconde,916253958,202509-0020594,0.09,0.45,,,Not Scheduled
2,ITR,2025-10-02,345709,32STW101,9,7,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,2025-10-04,rexconde,916253958,202509-0020594,0.04,0.28,,,Not Scheduled
3,ITR,2025-10-02,345709,SONIQUE SURF,5,5,0,FWH14P1F,ALS005,,,,ALSONS MASBATE,C,2025-10-04,2025-10-04,rexconde,916253958,202509-0020594,0,0,,,Not Scheduled
4,ITR,2025-10-01,346486,SONIQUE RAVE 501,2,2,0,FWH14P1F,ABV034,,ADD STK,,ABENSON WM CABANATUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021014,0,0,,,Not Scheduled
5,ITR,2025-10-01,346487,55UHW201,2,2,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,2025-10-02,rexconde,,202510-0021015,0.13,0.26,,,Scheduled
6,ITR,2025-10-01,346487,65QUHW01,2,2,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,2025-10-02,rexconde,,202510-0021015,0.19,0.38,,,Scheduled
7,ITR,2025-10-01,346487,43STW101,4,4,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,2025-10-02,rexconde,,202510-0021015,0.09,0.36,,,Scheduled
8,ITR,2025-10-01,346487,75UHD206,1,1,0,FWH14P1F,ABV043,,ADD STK,,ABENSON WM MAKILING,C,2025-10-02,2025-10-02,rexconde,,202510-0021015,0,0,,,Scheduled
9,ITR,2025-10-01,346488,65QUHW01,1,1,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0.19,0.19,,,Not Scheduled
10,ITR,2025-10-01,346488,55QUHW01,6,6,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0.13,0.78,,,Not Scheduled
11,ITR,2025-10-01,346488,SWS-01,10,10,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0,0,,,Not Scheduled
12,ITR,2025-10-01,346488,65UHD205,3,3,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0.25,0.75,,,Not Scheduled
13,ITR,2025-10-01,346489,55UHW201,5,5,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0.13,0.65,,,Scheduled
14,ITR,2025-10-01,346489,43STW101,7,7,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0.09,0.63,,,Scheduled
15,ITR,2025-10-01,346489,75UHD206,2,2,0,FWH14P1F,ABV051,,,,ABENSON WM TANAUAN,C,2025-10-02,2025-10-02,rexconde,,202510-0021016,0,0,,,Scheduled
16,ITR,2025-10-01,346490,55QUHW01,2,2,0,FWH14P1F,ABV155,,,,ABENSON DAGUPAN,C,2025-10-03,2025-10-03,rexconde,,202510-0021017,0.13,0.26,,,Not Scheduled
17,ITR,2025-10-01,346491,SONIQUE SURF,5,5,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,2025-10-03,rexconde,,202510-0021018,0,0,,,Not Scheduled
18,ITR,2025-10-01,346491,55QUHW01,4,4,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,2025-10-03,rexconde,,202510-0021018,0.13,0.52,,,Not Scheduled
19,ITR,2025-10-01,346491,32STW101,2,2,0,FWH14P1F,ABV137,,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,2025-10-03,rexconde,,202510-0021018,0.04,0.08,,,Not Scheduled
20,ITR,2025-10-01,346491,55UHW201,5,5,0,FWH14P1F,ABV137,exhibit stock,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,2025-10-03,rexconde,,202510-0021018,0.13,0.65,,,Not Scheduled
21,ITR,2025-10-01,346491,43STW101,2,2,0,FWH14P1F,ABV137,,EXHIBIT,,ABENSON WM BALIUAG,C,2025-10-03,2025-10-03,rexconde,,202510-0021018,0.09,0.18,,,Not Scheduled
22,ITR,2025-10-01,346492,43STW101,3,3,0,FWH14P1F,ABV041,,,,ABENSON WM GUIGUINTO,C,2025-10-03,2025-10-03,rexconde,,202510-0021019,0.09,0.27,,,Not Scheduled
23,ITR,2025-10-01,346492,50QUHW01,3,3,0,FWH14P1F,ABV041,,,,ABENSON WM GUIGUINTO,C,2025-10-03,2025-10-03,rexconde,,202510-0021019,0.09,0.27,,,Not Scheduled
24,ITR,2025-10-01,346492,SONIQUE SURF,10,10,0,FWH14P1F,ABV041,,,,ABENSON WM GUIGUINTO,C,2025-10-03,2025-10-03,rexconde,,202510-0021019,0,0,,,Not Scheduled
25,ITR,2025-10-01,346493,65UHD205,1,1,0,FWH14P1F,ABV045,,,,ABENSON WM PLARIDEL,C,2025-10-03,2025-10-03,rexconde,,202510-0021020,0.25,0.25,,,Not Scheduled
26,ITR,2025-10-01,346493,50QUHW01,1,1,0,FWH14P1F,ABV045,,,,ABENSON WM PLARIDEL,C,2025-10-03,2025-10-03,rexconde,,202510-0021020,0.09,0.09,,,Not Scheduled
27,ITR,2025-10-01,346493,55QUHW01,1,1,0,FWH14P1F,ABV045,,,,ABENSON WM PLARIDEL,C,2025-10-03,2025-10-03,rexconde,,202510-0021020,0.13,0.13,,,Not Scheduled
28,ITR,2025-10-01,346494,SONIQUE VIBE 301,2,2,0,FWH14P1F,ABV048,,,,ABENSON WM STA. MARIA,C,2025-10-03,2025-10-03,rexconde,,202510-0021021,0,0,,,Not Scheduled
29,ITR,2025-10-01,346495,SWS-01,5,5,0,FWH14P1F,ABV048,,,,ABENSON WM STA. MARIA,C,2025-10-03,2025-10-03,rexconde,,202510-0021022,0,0,,,Not Scheduled
